plant_line,root_length,treatment
col_0,1.709,fructose
gcob,1.952,fructose
cob_1,1.497,fructose
hulk_1,0.711,fructose
cob_6,1.644,fructose
col_0,1.474,fructose
gcob,2.221,fructose
cob_1,2.044,fructose
hulk_1,0.912,fructose
cob_6,1.52,fructose
col_0,1.865,fructose
gcob,2.096,fructose
cob_1,0.726,fructose
hulk_1,0.888,fructose
cob_6,1.827,fructose
col_0,1.504,fructose
gcob,2.187,fructose
cob_1,1.228,fructose
hulk_1,0.765,fructose
cob_6,1.634,fructose
col_0,1.576,fructose
gcob,1.973,fructose
cob_1,1.163,fructose
hulk_1,0.661,fructose
cob_6,2.057,fructose
col_0,1.436,fructose
gcob,1.78,fructose
cob_1,1.146,fructose
hulk_1,0.842,fructose
cob_6,1.893,fructose
col_0,1.249,fructose
gcob,1.145,fructose
cob_1,1.116,fructose
hulk_1,0.777,fructose
cob_6,1.551,fructose
col_0,1.936,fructose
gcob,2.449,fructose
cob_1,1.147,fructose
hulk_1,0.704,fructose
cob_6,1.709,fructose
col_0,1.531,fructose
gcob,2.213,fructose
cob_1,0.997,fructose
hulk_1,1.094,fructose
cob_6,1.293,fructose
col_0,2.229,fructose
gcob,2.04,fructose
cob_1,0.972,fructose
hulk_1,0.793,fructose
cob_6,1.568,fructose
col_0,1.515,fructose
gcob,2.168,fructose
cob_1,1.022,fructose
hulk_1,0.723,fructose
cob_6,1.605,fructose
col_0,2.083,fructose
gcob,2.227,fructose
cob_1,0.95,fructose
hulk_1,0.778,fructose
cob_6,1.385,fructose
col_0,1.876,fructose
gcob,1.805,fructose
cob_1,0.826,fructose
hulk_1,0.757,fructose
cob_6,1.993,fructose
col_0,1.651,fructose
cob_1,1.178,fructose
hulk_1,0.816,fructose
cob_6,1.577,fructose
col_0,1.588,fructose
cob_1,1.27,fructose
hulk_1,0.709,fructose
cob_6,1.678,fructose
col_0,1.425,fructose
cob_1,1.139,fructose
hulk_1,0.609,fructose
cob_6,1.795,fructose
col_0,1.593,fructose
cob_1,1.293,fructose
hulk_1,1.216,fructose
cob_6,2.033,fructose
col_0,1.912,fructose
cob_1,1.039,fructose
hulk_1,0.605,fructose
col_0,1.669,fructose
cob_1,0.98,fructose
hulk_1,0.581,fructose
col_0,1.498,fructose
hulk_1,0.884,fructose
col_0,1.801,fructose
hulk_1,0.555,fructose
col_0,1.614,fructose
col_0,1.541,fructose
col_0,1.301,fructose
col_0,1.615,fructose
col_0,1.576,fructose
col_0,1.688,fructose
col_0,1.702,fructose
col_0,1.713,fructose
col_0,1.897,fructose
col_0,1.889,fructose
col_0,1.706,fructose
col_0,1.721,fructose
col_0,1.527,fructose
col_0,1.582,fructose
col_0,1.377,fructose
col_0,4.122,nacl
gcob,4.292,nacl
cob_1,2.784,nacl
hulk_1,1.677,nacl
cob_6,3.242,nacl
col_0,1.328,nacl
gcob,4.834,nacl
cob_1,2.889,nacl
hulk_1,1.687,nacl
cob_6,3.274,nacl
col_0,4.22,nacl
gcob,4.649,nacl
cob_1,1.598,nacl
hulk_1,1.756,nacl
cob_6,4.034,nacl
col_0,4.44,nacl
gcob,5.122,nacl
cob_1,2.87,nacl
hulk_1,1.807,nacl
cob_6,4.13,nacl
col_0,3.904,nacl
gcob,4.71,nacl
cob_1,2.64,nacl
hulk_1,1.418,nacl
cob_6,3.987,nacl
col_0,4.448,nacl
gcob,4.529,nacl
cob_1,0.485,nacl
hulk_1,1.482,nacl
cob_6,3.909,nacl
col_0,4.286,nacl
gcob,4.416,nacl
cob_1,0.228,nacl
hulk_1,1.732,nacl
cob_6,3.715,nacl
col_0,2.669,nacl
gcob,5.055,nacl
cob_1,2.869,nacl
hulk_1,1.27,nacl
cob_6,4.111,nacl
col_0,3.949,nacl
gcob,4.804,nacl
cob_1,2.518,nacl
hulk_1,1.552,nacl
cob_6,3.108,nacl
col_0,4.051,nacl
gcob,4.595,nacl
cob_1,0.221,nacl
hulk_1,1.626,nacl
cob_6,3.118,nacl
col_0,3.654,nacl
gcob,4.537,nacl
cob_1,1.176,nacl
